Class Name,Subject Name,Chapter,Language,Question,Option 1,Option 2,Option 3,Option 4,Correct Response,Image
10th,Chemistry,,English,Test Question1 ,Option 1,Option2,Option 3,Option 4,1,
10th,Chemistry,,English,Test Question2,Option 1,Option2,Option 3,Option 4,2,
10th,Chemistry,,English,Test Question3,Option 1,Option2,Option 3,Option 4,3,
10th,Chemistry,,English,Test Question4,Option 1,Option2,Option 3,Option 4,4,
10th,Chemistry,,English,Test Question5,Option 1,Option2,Option 3,Option 4,1,
10th,Chemistry,,English,Test Question6,Option 1,Option2,Option 3,Option 4,2,
10th,Chemistry,,English,Test Question7,Option 1,Option2,Option 3,Option 4,3,
10th,Chemistry,,English,Test Question8,Option 1,Option2,Option 3,Option 4,4,
10th,Chemistry,,English,Test Question9,Option 1,Option2,Option 3,Option 4,1,
10th,Chemistry,,English,Test Question10,Option 1,Option2,Option 3,Option 4,2,
10th,Chemistry,,English,Test Question11,Option 1,Option2,Option 3,Option 4,3,
10th,Chemistry,,English,Test Question12,Option 1,Option2,Option 3,Option 4,4,
10th,Chemistry,,English,Test Question13,Option 1,Option2,Option 3,Option 4,1,
