Class Name,Subject Name,Chapter,Language,Question,Option 1,Option 2,Option 3,Option 4,Correct Response,Image
Ten,Chemistry,Carbon and its Compounds,English,Test Question1 ,Option 1,Option2,Option 3,Option 4,1,
Ten,Chemistry,Carbon and its Compounds,English,Test Question2,Option 1,Option2,Option 3,Option 4,2,
Ten,Chemistry,Carbon and its Compounds,English,Test Question3,Option 1,Option2,Option 3,Option 4,3,
Ten,Chemistry,Carbon and its Compounds,English,Test Question4,Option 1,Option2,Option 3,Option 4,4,
Ten,Chemistry,Carbon and its Compounds,English,Test Question5,Option 1,Option2,Option 3,Option 4,1,
Ten,Chemistry,Carbon and its Compounds,English,Test Question6,Option 1,Option2,Option 3,Option 4,2,
Ten,Chemistry,Carbon and its Compounds,English,Test Question7,Option 1,Option2,Option 3,Option 4,3,
Ten,Chemistry,Carbon and its Compounds,English,Test Question8,Option 1,Option2,Option 3,Option 4,4,
Ten,Chemistry,Carbon and its Compounds,English,Test Question9,Option 1,Option2,Option 3,Option 4,1,
Ten,Chemistry,Carbon and its Compounds,English,Test Question10,Option 1,Option2,Option 3,Option 4,2,
Ten,Chemistry,Carbon and its Compounds,English,Test Question11,Option 1,Option2,Option 3,Option 4,3,
Ten,Chemistry,Carbon and its Compounds,English,Test Question12,Option 1,Option2,Option 3,Option 4,4,
Ten,Chemistry,Carbon and its Compounds,English,Test Question13,Option 1,Option2,Option 3,Option 4,1,
