School Code,School Name,Address,Pincode,Block Code,District Code
11001,ZILA SCHOOL PURNEA,,,1128,11
11002,URSULINE CONVENT GIRLS HIGH SCHOOL PURNEA,,,1128,11
11003,B B M HIGH SCHOOL PURNEA,,,1128,11
11004,GOVT GIRLS HIGH SCHOOL PURNEA,,,1128,11
11005,"MAA KALI HIGH SCHOOL MADHUBANI, PURNEA",,,1128,11
11006,"JLNS HIGH SCHOOL GULAB BAGH, PURNEA",,,1128,11
11007,"PARWATI MANDAL HIGH SCHOOL HARDA, PURNEA",,,1128,11
11008,"ANCHIT SAH HIGH SCHOOL BELOURI, PURNEA",,,1128,11
11009,"HIGH SCHOOL CHANDI RAZIGANJ, PURNEA",,,1128,11
11010,"GOVT HIGH SCHOOL SHRI NAGAR, PURNEA",,,1128,11
11011,"SIYA MOHAN HIGH SCHOOL SAHARA, PURNEA",,,1128,11
11012,"R P C HIGH SCHOOL PURNEA CITY, PURNEA",,,1128,11
11013,"HIGH SCHOOL KASBA, PURNEA",,,1128,11
11014,"K D GIRLS HIGH SCHOOL KASBA, PURNEA",,,1128,11
11015,"PROJECT GIRLS HIGH SCHOOL RANI PATRA, PURNEA",,,1128,11
11016,"K G P +2 SENIOR SECONDARY HIGH SCHOOL, BHOGA BHATGAMA, PURNEA",,,1128,11
11017,"N D RUNGTA H/S JALAL GARH, PURNEA",,,1128,11
11018,"KALA NAND H/S GARH BANAILI, PURNEA",,,1128,11
11019,"B N H/S JAGNICHAMPA NAGAR, PURNEA",,,1128,11
11020,"PROJECT GIRLS HIGH SCHOOL GOKUL PUR, PURNEA",,,1128,11
11021,ST THOMAS H S MUNSHIBARI PURNEA,,,1128,11
11022,B C KANYA RES H S PURNEA,,,1128,11
11023,"PURNEA H S RAMBAGH,PURNEA",,,1128,11
11024,"HIGH SCHOOL HAFANIA, PURNEA",,,1128,11
11025,"HIGH SCHOOL KANHARIA, PURNEA",,,1128,11
11026,"KANAK LAL H/S SOURA, PURNEA",,,1128,11
11027,"ABUL KALAM HIGH SCHOOL ICHALO, PURNEA",,,1128,11
11028,"PROJECT GIRLS HIGH SCHOOL AMOUR, PURNEA",,,1128,11
11029,"HIGH SCHOOL RAUTA, PURNEA",,,1128,11
11030,"HIGH SCHOOL AMOUR, PURNEA",,,1128,11
11031,"HIGH SCHOOL BAISI, PURNEA",,,1128,11
11032,"HIGH SCHOOL JHOWARI, PURNEA",,,1128,11
11033,"JANTA HIGH SCHOOL BISHNUPUR, PURNEA",,,1128,11
11034,"T N HIGH SCHOOL PIYAZI, PURNEA",,,1128,11
11035,"HIGH SCHOOL KANJIA, PURNEA",,,1128,11
11036,"PROJECT KANYA H S BAISI, PURNEA",,,1128,11
11037,"UGRA NARAYAN H/S VIDYAPURI, PURNEA",,,1128,11
11038,"BALDEVA H/S BHAWANIPUR RAJDHAM, PURNEA",,,1128,11
11039,"PROJECT M L GIRLS H/S BHAWANIPUR RAJDHAM, PURNEA",,,1128,11
11040,"PROJECT GIRLS H/S RUPOULI, PURNEA",,,1128,11
11041,"HIGH SCHOOL RUPOULI, PURNEA",,,1128,11
11042,"MADHAV SARWAJANIK H/S KUARI, PURNEA",,,1128,11
11043,"M M R D HIGH SCHOOL AMARI, PURNEA",,,1128,11
11044,"G S T R H/S MOGALIAPURN DHAMDAHA, PURNEA",,,1128,11
11045,"P P HIGH SCHOOL BHOWA DEORHI, PURNEA",,,1128,11
11046,"DURGA H/S MOGALIA PURANDAHA, PURNEA",,,1128,11
11047,"GYANWATI HIGH SCHOOL MOUZAMPATTI, PURNEA",,,1128,11
11048,"BAIDYA NATH H/S BALIA, PURNEA",,,1128,11
11049,"SHYAMA HIGH SCHOOL BHATOTAR, PURNEA",,,1128,11
11050,"BIRANCHI MANDAL H/S BARHARI, PURNEA",,,1128,11
11051,"S S S S H/S TIKAPATTI, PURNEA",,,1128,11
11052,"PROJECT GIRLS H/S DHAMDAHA, PURNEA",,,1128,11
11053,"B B HIGH SCHOOL SARSI, PURNEA",,,1128,11
11054,"HIGH SCHOOL AKBARPUR, PURNEA",,,1128,11
11055,"HIGH SCHOOL DHAMDAHA, PURNEA",,,1128,11
11056,"S HIGH SCHOOL AURAHI GOVINDPUR, PURNEA",,,1128,11
11057,"SANT VINAY H S SATAMI, PURNEA",,,1128,11
11058,"PROJECT KANYA H S BARHARI, PURNEA",,,1128,11
11059,"MATU RAM GIRLS H/S BANMANKHI, PURNEA",,,1128,11
11060,"SUMRIT HIGH SCHOOL BANMANKHI, PURNEA",,,1128,11
11061,"H S DHODHAIPIPARA, PURNEA",,,1128,11
11062,"THAKUR H S KHUNT, PURNEA",,,1128,11
11063,"GOVT S T H S BANMANKHI, PURNEA",,,1128,11
11064,"GOVT AMBEDKAR H S JANKINAGAR, PURNEA",,,1128,11
11065,"LILJU HIGH SCHOOL BURHIA, PURNEA",,,1128,11
11066,"S A L M C HIGH SCHOOL BANMANKHI, PURNEA",,,1128,11
11301,"UTKRAMIT M S MACHHATTA, PURNEA",,,1128,11
11302,"UTKRAMIT M S MALOPARA BAISI, PURNEA",,,1128,11
11303,"UTKRAMIT M S JANKINAGAR HAAT BANMANKHI, PURNEA",,,1128,11
11304,"ADARSH UTKRAMIT M S PARORA K NAGAR, PURNEA",,,1128,11
11305,"ADARSH UTKRAMIT M S VISHNUPUR DHAMDAHA, PURNEA",,,1128,11
11306,"UTKRAMIT M S KASBA SANJHAULI KASBA, PURNEA",,,1128,11
11307,"UTKRAMIT M S LALGANJ VIJAY LALGANJ RUPAULI, PURNEA",,,1128,11
11308,"UTKRAMIT M S BRAHMGANI SUPAULI BHAWANIPUR, PURNEA",,,1128,11
11309,"UTKRAMIT M S AATA MABAIYA BAISI, PURNEA",,,1128,11
11310,"UTKRAMIT M S MAHAMMADPUR HARKAIHLI DAGARUA, PURNEA",,,1128,11
11311,"UTKRAMIT M S BAIRIYA GAURIYAR RUPAULI, PURNEA",,,1128,11
11313,"UTKRAMIT M S GAUASI K NAGAR, PURNEA",,,1128,11
11314,"UTKRAMIT M S MARANGA WEST PURNEA EAST, PURNEA",,,1128,11
11315,"UPGRADED M S BAGDAR DHURPALLI AMAUR, PURNEA",,,1128,11
11316,"UTKRAMIT M S RAMPUR TILAK, PURNEA",,,1128,11
11317,"UTKRAMIT MADHYAMIK SCHOOL CHAMPAWATI, PURNEA",,,1128,11
11318,"UTKRAMIT MADHYAMIK SCHOOL CHANDPUR BHANGHA, PURNEA",,,1128,11
11319,"UTKRAMIT MADHYAMIK SCHOOL HARIMURHI, PURNEA",,,1128,11
11320,"UTKRAMIT MADHYAMIK SCHOOL LAXMIPUR, PURNEA",,,1128,11
11321,"UTKRAMIT MADHYAMIK SCHOOL PRANPATTI, PURNEA",,,1128,11
11322,"UTKRAMIT MADHYAMIK SCHOOL KAJHA, PURNEA",,,1128,11
11323,"UTKRAMIT MADHYAMIK SCHOOL SAURAHA, PURNEA",,,1128,11
11324,"UTKRAMIT MADHYAMIK SCHOOL GARHI BALUWA, PURNEA",,,1128,11
11325,"UTKRAMIT MADHYAMIK SCHOOL BISHANPUR, PURNEA",,,1128,11
11326,"UTKRAMIT MADHYAMIK SCHOOL ROUTI BASHA, PURNEA",,,1128,11
11327,"UTKRAMIT MADHYAMIK SCHOOL TALBARI, PURNEA",,,1128,11
11328,"UTKRAMIT MADHYAMIK SCHOOL SIRSI, PURNEA",,,1128,11
11329,"UTKRAMIT MADHYAMIK SCHOOL AMIRGANJ, PURNEA",,,1128,11
11330,"UTKRAMIT MADHYAMIK SCHOOL KODHELI, PURNEA",,,1128,11
11331,"UTKRAMIT MADHYAMIK SCHOOL BABHNI, PURNEA",,,1128,11
11332,"UTKRAMIT MADHYAMIK SCHOOL BELGCHHI, PURNEA",,,1128,11
11333,"UTKRAMIT MADHYAMIK SCHOOL GORIAR, PURNEA",,,1128,11
11334,"UTKRAMIT MADHYAMIK SCHOOL DUMRI, PURNEA",,,1128,11
11335,"UTKRAMIT MADHYAMIK SCH SANJHA GHAAT,DHAMDAHA, PURNEA",,,1128,11
11336,"UTKRAMIT MADHYAMIK SCHOOL MEERGANJ, DHAMDAHA, PURNEA",,,1128,11
11337,"UTKRAMIT MADHYAMIK SCH G.RAM DAMGARA,DHAMDAHA, PURNEA",,,1128,11
11338,"UTKRAMIT MADHYAMIK SCHOOL LAKHANARE, AMOUR, PURNEA",,,1128,11
11339,"UTKRAMIT MADHYAMIK SCHOOL BELKA, AMOUR, PURNEA",,,1128,11
11340,"UTKRAMIT MADHYAMIK SCH B TOLA ISLAMPUR,AMOUR, PURNEA",,,1128,11
11341,"UTKRAMIT MADHYAMIK SCHOOL MAJGAMA, KASBA, PURNEA",,,1128,11
11342,"UTKRAMIT MADHYAMIK SCHOOL LACHHANPUR, KASBA, PURNEA",,,1128,11
11343,"UTKRAMIT MADHYAMIK SCHOOL MOHANI, KASBA, PURNEA",,,1128,11
11344,"UTKRAMIT MADHYAMIK SCHOOL SONAPUR, BAISI, PURNEA",,,1128,11
11345,"UTKRAMIT MADHYAMIK SCHOOL HARERAMPUR, BAISI, PURNEA",,,1128,11
11346,"UTKRAMIT MADHYAMIK SCHOOL CHARAIYA, BAISI, PURNEA",,,1128,11
11347,"UTKRAMIT MADHYAMIK SCHOOL SHISHAWARI, BAISI, PURNEA",,,1128,11
11348,"UTKRAMIT MADHYAMIK SCHOOL CHANDWAR, BAISI, PURNEA",,,1128,11
11349,"UTKRAMIT MADHYAMIK SCHOOL NANDANIYA, BAISI, PURNEA",,,1128,11
