Class Name,Subject Name,Chapter Name
10th (Matric),Hindi,Shram vibhajan aur jaati pratha
10th (Matric),Hindi,Vish ke dant
10th (Matric),Hindi,Bharat se hum kya sikhe
10th (Matric),Hindi,Nakhun kyon badhate hain
10th (Matric),Hindi,Nagri lipi
10th (Matric),Hindi,Bahadur
10th (Matric),Hindi,Parampara ka mulyankan
10th (Matric),Hindi,Jit jit main nirkhat hun 
10th (Matric),Hindi,Avinyo
10th (Matric),Hindi,Machhli
10th (Matric),Hindi,Naubat khane mein ibadat
10th (Matric),Hindi,Shiksha aur sanskriti
10th (Matric),Hindi,"Ram binu birthe jagi janma,"
10th (Matric),Hindi,Prem ayni shri radhika
10th (Matric),Hindi,Ati sudho sneh ko marag hai
10th (Matric),Hindi,Swedshi
10th (Matric),Hindi,Bharat mata
10th (Matric),Hindi,Jantantra ka janm
10th (Matric),Hindi,Hiroshima 
10th (Matric),Hindi,Ek vrikish ki hatya
10th (Matric),Hindi,Hamari nind kavita
10th (Matric),Hindi,Akshar-gyan
10th (Matric),Hindi,Laut kar aaunga phir
10th (Matric),Hindi,mere bina tum Prabhu
10th (Matric),Hindi,Dahi wali mangamma
10th (Matric),Hindi,Dhahte viswas
10th (Matric),Hindi,Maa
10th (Matric),Hindi,Nagar
10th (Matric),Hindi,Dharti kab tak ghumegi
10th (Matric),Sanskrit,Mangalam
10th (Matric),Sanskrit,Patliputra vaibhavam
10th (Matric),Sanskrit,Alaskatha
10th (Matric),Sanskrit,Sanskrit sahitya lekhika
10th (Matric),Sanskrit,Bharat mahima
10th (Matric),Sanskrit,Bhartiya sanskar
10th (Matric),Sanskrit,Niti shlok
10th (Matric),Sanskrit,Karamveer katha
10th (Matric),Sanskrit,Swami dayanand 
10th (Matric),Sanskrit,Mandakini varnam
10th (Matric),Sanskrit,Vyaghra pathik katha
10th (Matric),Sanskrit,Karnasya danvirta
10th (Matric),Sanskrit,Vishwa shanti
10th (Matric),Sanskrit,Shastrakara
