S. No.,School Code,School Name,Address,Pincode,Block ID,District ID,District Name,Block Name
1,11001,ZILA SCHOOL PURNEA,,,1128,11,PURNEA,BANMANKHI
2,11002,URSULINE CONVENT GIRLS HIGH SCHOOL PURNEA,,,1128,11,PURNEA,BANMANKHI
3,11003,B B M HIGH SCHOOL PURNEA,,,1128,11,PURNEA,BANMANKHI
4,11004,GOVT GIRLS HIGH SCHOOL PURNEA,,,1128,11,PURNEA,BANMANKHI
5,11005,"MAA KALI HIGH SCHOOL MADHUBANI, PURNEA",,,1128,11,PURNEA,BANMANKHI
6,11006,"JLNS HIGH SCHOOL GULAB BAGH, PURNEA",,,1128,11,PURNEA,BANMANKHI
7,11007,"PARWATI MANDAL HIGH SCHOOL HARDA, PURNEA",,,1128,11,PURNEA,BANMANKHI
8,11008,"ANCHIT SAH HIGH SCHOOL BELOURI, PURNEA",,,1128,11,PURNEA,BANMANKHI
9,11009,"HIGH SCHOOL CHANDI RAZIGANJ, PURNEA",,,1128,11,PURNEA,BANMANKHI
10,11010,"GOVT HIGH SCHOOL SHRI NAGAR, PURNEA",,,1128,11,PURNEA,BANMANKHI
11,11011,"SIYA MOHAN HIGH SCHOOL SAHARA, PURNEA",,,1128,11,PURNEA,BANMANKHI
12,11012,"R P C HIGH SCHOOL PURNEA CITY, PURNEA",,,1128,11,PURNEA,BANMANKHI
13,11013,"HIGH SCHOOL KASBA, PURNEA",,,1128,11,PURNEA,BANMANKHI
14,11014,"K D GIRLS HIGH SCHOOL KASBA, PURNEA",,,1128,11,PURNEA,BANMANKHI
15,11015,"PROJECT GIRLS HIGH SCHOOL RANI PATRA, PURNEA",,,1128,11,PURNEA,BANMANKHI
16,11016,"K G P +2 SENIOR SECONDARY HIGH SCHOOL, BHOGA BHATGAMA, PURNEA",,,1128,11,PURNEA,BANMANKHI
17,11017,"N D RUNGTA H/S JALAL GARH, PURNEA",,,1128,11,PURNEA,BANMANKHI
18,11018,"KALA NAND H/S GARH BANAILI, PURNEA",,,1128,11,PURNEA,BANMANKHI
19,11019,"B N H/S JAGNICHAMPA NAGAR, PURNEA",,,1128,11,PURNEA,BANMANKHI
20,11020,"PROJECT GIRLS HIGH SCHOOL GOKUL PUR, PURNEA",,,1128,11,PURNEA,BANMANKHI
21,11021,ST THOMAS H S MUNSHIBARI PURNEA,,,1128,11,PURNEA,BANMANKHI
22,11022,B C KANYA RES H S PURNEA,,,1128,11,PURNEA,BANMANKHI
23,11023,"PURNEA H S RAMBAGH,PURNEA",,,1128,11,PURNEA,BANMANKHI
24,11024,"HIGH SCHOOL HAFANIA, PURNEA",,,1128,11,PURNEA,BANMANKHI
25,11025,"HIGH SCHOOL KANHARIA, PURNEA",,,1128,11,PURNEA,BANMANKHI
26,11026,"KANAK LAL H/S SOURA, PURNEA",,,1128,11,PURNEA,BANMANKHI
27,11027,"ABUL KALAM HIGH SCHOOL ICHALO, PURNEA",,,1128,11,PURNEA,BANMANKHI
28,11028,"PROJECT GIRLS HIGH SCHOOL AMOUR, PURNEA",,,1128,11,PURNEA,BANMANKHI
29,11029,"HIGH SCHOOL RAUTA, PURNEA",,,1128,11,PURNEA,BANMANKHI
30,11030,"HIGH SCHOOL AMOUR, PURNEA",,,1128,11,PURNEA,BANMANKHI
31,11031,"HIGH SCHOOL BAISI, PURNEA",,,1128,11,PURNEA,BANMANKHI
32,11032,"HIGH SCHOOL JHOWARI, PURNEA",,,1128,11,PURNEA,BANMANKHI
33,11033,"JANTA HIGH SCHOOL BISHNUPUR, PURNEA",,,1128,11,PURNEA,BANMANKHI
34,11034,"T N HIGH SCHOOL PIYAZI, PURNEA",,,1128,11,PURNEA,BANMANKHI
35,11035,"HIGH SCHOOL KANJIA, PURNEA",,,1128,11,PURNEA,BANMANKHI
36,11036,"PROJECT KANYA H S BAISI, PURNEA",,,1128,11,PURNEA,BANMANKHI
37,11037,"UGRA NARAYAN H/S VIDYAPURI, PURNEA",,,1128,11,PURNEA,BANMANKHI
38,11038,"BALDEVA H/S BHAWANIPUR RAJDHAM, PURNEA",,,1128,11,PURNEA,BANMANKHI
39,11039,"PROJECT M L GIRLS H/S BHAWANIPUR RAJDHAM, PURNEA",,,1128,11,PURNEA,BANMANKHI
40,11040,"PROJECT GIRLS H/S RUPOULI, PURNEA",,,1128,11,PURNEA,BANMANKHI
41,11041,"HIGH SCHOOL RUPOULI, PURNEA",,,1128,11,PURNEA,BANMANKHI
42,11042,"MADHAV SARWAJANIK H/S KUARI, PURNEA",,,1128,11,PURNEA,BANMANKHI
43,11043,"M M R D HIGH SCHOOL AMARI, PURNEA",,,1128,11,PURNEA,BANMANKHI
44,11044,"G S T R H/S MOGALIAPURN DHAMDAHA, PURNEA",,,1128,11,PURNEA,BANMANKHI
45,11045,"P P HIGH SCHOOL BHOWA DEORHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
46,11046,"DURGA H/S MOGALIA PURANDAHA, PURNEA",,,1128,11,PURNEA,BANMANKHI
47,11047,"GYANWATI HIGH SCHOOL MOUZAMPATTI, PURNEA",,,1128,11,PURNEA,BANMANKHI
48,11048,"BAIDYA NATH H/S BALIA, PURNEA",,,1128,11,PURNEA,BANMANKHI
49,11049,"SHYAMA HIGH SCHOOL BHATOTAR, PURNEA",,,1128,11,PURNEA,BANMANKHI
50,11050,"BIRANCHI MANDAL H/S BARHARI, PURNEA",,,1128,11,PURNEA,BANMANKHI
51,11051,"S S S S H/S TIKAPATTI, PURNEA",,,1128,11,PURNEA,BANMANKHI
