School Code,School Name,District Name,Block Name
11001,ZILA SCHOOL PURNEA,PURNEA,BANMANKHI
11002,URSULINE CONVENT GIRLS HIGH SCHOOL PURNEA,PURNEA,BANMANKHI
11003,B B M HIGH SCHOOL PURNEA,PURNEA,BANMANKHI
11004,GOVT GIRLS HIGH SCHOOL PURNEA,PURNEA,BANMANKHI
11005,"MAA KALI HIGH SCHOOL MADHUBANI, PURNEA",PURNEA,BANMANKHI
11006,"JLNS HIGH SCHOOL GULAB BAGH, PURNEA",PURNEA,BANMANKHI
11007,"PARWATI MANDAL HIGH SCHOOL HARDA, PURNEA",PURNEA,BANMANKHI
11008,"ANCHIT SAH HIGH SCHOOL BELOURI, PURNEA",PURNEA,BANMANKHI
11009,"HIGH SCHOOL CHANDI RAZIGANJ, PURNEA",PURNEA,BANMANKHI
11010,"GOVT HIGH SCHOOL SHRI NAGAR, PURNEA",PURNEA,BANMANKHI
11011,"SIYA MOHAN HIGH SCHOOL SAHARA, PURNEA",PURNEA,BANMANKHI
11012,"R P C HIGH SCHOOL PURNEA CITY, PURNEA",PURNEA,BANMANKHI
11013,"HIGH SCHOOL KASBA, PURNEA",PURNEA,BANMANKHI
11014,"K D GIRLS HIGH SCHOOL KASBA, PURNEA",PURNEA,BANMANKHI
11015,"PROJECT GIRLS HIGH SCHOOL RANI PATRA, PURNEA",PURNEA,BANMANKHI
11016,"K G P +2 SENIOR SECONDARY HIGH SCHOOL, BHOGA BHATGAMA, PURNEA",PURNEA,BANMANKHI
11017,"N D RUNGTA H/S JALAL GARH, PURNEA",PURNEA,BANMANKHI
11018,"KALA NAND H/S GARH BANAILI, PURNEA",PURNEA,BANMANKHI
11019,"B N H/S JAGNICHAMPA NAGAR, PURNEA",PURNEA,BANMANKHI
11020,"PROJECT GIRLS HIGH SCHOOL GOKUL PUR, PURNEA",PURNEA,BANMANKHI
11021,ST THOMAS H S MUNSHIBARI PURNEA,PURNEA,BANMANKHI
11022,B C KANYA RES H S PURNEA,PURNEA,BANMANKHI
11023,"PURNEA H S RAMBAGH,PURNEA",PURNEA,BANMANKHI
11024,"HIGH SCHOOL HAFANIA, PURNEA",PURNEA,BANMANKHI
11025,"HIGH SCHOOL KANHARIA, PURNEA",PURNEA,BANMANKHI
11026,"KANAK LAL H/S SOURA, PURNEA",PURNEA,BANMANKHI
11027,"ABUL KALAM HIGH SCHOOL ICHALO, PURNEA",PURNEA,BANMANKHI
11028,"PROJECT GIRLS HIGH SCHOOL AMOUR, PURNEA",PURNEA,BANMANKHI
11029,"HIGH SCHOOL RAUTA, PURNEA",PURNEA,BANMANKHI
11030,"HIGH SCHOOL AMOUR, PURNEA",PURNEA,BANMANKHI
11031,"HIGH SCHOOL BAISI, PURNEA",PURNEA,BANMANKHI
11032,"HIGH SCHOOL JHOWARI, PURNEA",PURNEA,BANMANKHI
11033,"JANTA HIGH SCHOOL BISHNUPUR, PURNEA",PURNEA,BANMANKHI
11034,"T N HIGH SCHOOL PIYAZI, PURNEA",PURNEA,BANMANKHI
11035,"HIGH SCHOOL KANJIA, PURNEA",PURNEA,BANMANKHI
11036,"PROJECT KANYA H S BAISI, PURNEA",PURNEA,BANMANKHI
11037,"UGRA NARAYAN H/S VIDYAPURI, PURNEA",PURNEA,BANMANKHI
11038,"BALDEVA H/S BHAWANIPUR RAJDHAM, PURNEA",PURNEA,BANMANKHI
