District Name,School Code,School Name
PURNEA,11001,ZILA SCHOOL PURNEA
PURNEA,11002,URSULINE CONVENT GIRLS HIGH SCHOOL PURNEA
PURNEA,11003,B B M HIGH SCHOOL PURNEA
PURNEA,11004,GOVT GIRLS HIGH SCHOOL PURNEA
PURNEA,11005,"MAA KALI HIGH SCHOOL MADHUBANI, PURNEA"
PURNEA,11006,"JLNS HIGH SCHOOL GULAB BAGH, PURNEA"
PURNEA,11007,"PARWATI MANDAL HIGH SCHOOL HARDA, PURNEA"
PURNEA,11008,"ANCHIT SAH HIGH SCHOOL BELOURI, PURNEA"
PURNEA,11009,"HIGH SCHOOL CHANDI RAZIGANJ, PURNEA"
PURNEA,11010,"GOVT HIGH SCHOOL SHRI NAGAR, PURNEA"
PURNEA,11011,"SIYA MOHAN HIGH SCHOOL SAHARA, PURNEA"
PURNEA,11012,"R P C HIGH SCHOOL PURNEA CITY, PURNEA"
PURNEA,11013,"HIGH SCHOOL KASBA, PURNEA"
PURNEA,11014,"K D GIRLS HIGH SCHOOL KASBA, PURNEA"
PURNEA,11015,"PROJECT GIRLS HIGH SCHOOL RANI PATRA, PURNEA"
