School Code,School Name,District Code
12001,"L S HIGH SCHOOL PALASI PATEGNA, ARARIA",12
12002,"S HIGH SCHOOL BELSARA, ARARIA",12
12003,"HIGH SCHOOL KALIAGANJ, ARARIA",12
12004,"PROJECT HIGH SCHOOL SIKTY, ARARIA",12
12005,"L B S S HIGH SCHOOL PALASI, ARARIA",12
12006,"PROJECT GIRLS HIGH SCHOOL KALIAGANJ, ARARIA",12
12007,"R A HIGH SCHOOL HANSA KAMALPUR, ARARIA",12
12008,"M M PROJECT GIRLS H/S PAHUNSI, ARARIA",12
12009,"V N HIGH SCHOOL BHOJPUR, ARARIA",12
12010,"PROJECT GIRLS HIGH SCHOOL BARDAHA, ARARIA",12
12011,"ZAKIR ACADEMY DEHTI, ARARIA",12
12012,S S GIRLS HIGH SCHOOL ARARIA,12
12013,"H S URLAHA, ARARIA",12
12014,"B L D HIGH SCHOOL RANIGANJ, ARARIA",12
12015,AZAD ACADEMY ARARIA,12
12016,"HIGH SCHOOL KUARI, ARARIA",12
12017,"M G S HIGH SCHOOL ARARIA R S, ARARIA",12
12018,"P N HIGH SCHOOL SOHANDARHAT, ARARIA",12
12019,"UMA NATH ROY HIGH SCHOOL UDAHAT, ARARIA",12
12020,"HIGH SCHOOL MALHARAIA, ARARIA",12
12021,"HIGH SCHOOL BARDAHA, ARARIA",12
12022,"LALJEE HIGH SCHOOL RANIGANJ, ARARIA",12
12023,"HIGH SCHOOL JOKIHAT, ARARIA",12
12024,"MOTI HIGH SCHOOL MADANPUR, ARARIA",12
12025,"KALAWATI GIRLS HIGH SCHOOL RANIGANJ, ARARIA",12
12026,"HIGH SCHOOL KURSAKANTA, ARARIA",12
12027,HIGH SCHOOL ARARIA,12
12028,"HIGH SCHOOL SIMRAHA, ARARIA",12
12029,"LEE ACADEMY FOR BES GANJ, ARARIA",12
12030,"HIGH SCHOOL NARPATGANJ, ARARIA",12
12031,"HIGH SCHOOL JOGBANI, ARARIA",12
12032,"B D G G HIGH SCHOOL FOR BES GANJ, ARARIA",12
12033,"S D D N G GOVT H/S FOR BES GANJ, ARARIA",12
12034,"RAM NANDAN HIGH SCHOOL RAMAI, ARARIA",12
12035,"D D S HIGH SCHOOL FOR BES GANJ, ARARIA",12
12036,"K D H/S FULKAHA NAWABGANJ, ARARIA",12
12037,"J HIGH SCHOOL PITHAURA, ARARIA",12
12038,"JAWAHAR HIGH SCHOOL BHARGAMA, ARARIA",12
12039,"RAMLAL HIGH SCHOOL HARIPUR DAK, ARARIA",12
12040,"S D R HIGH SCHOOL MAHATHAWA, ARARIA",12
12041,"D B H S BEER NAGAR BISHARIA, ARARIA",12
12042,"GOVT AMBEDKAR HIGH SCHOOL RAMPUR, ARARIA",12
12043,"PROJECT GIRLS H/S NAR PATGANJ, ARARIA",12
12044,"HIGH SCHOOL SIMARBANI, ARARIA",12
12045,"PROJECT KANYA H S JOKIHAT, ARARIA",12
12046,"+2 PROJECT GIRLS HIGH SCHOOL, BHARGAMA,ARARIA",12
12301,UTKRAMIT M S PAIKTOLA ARARIA,12
12302,UTKRAMIT M S BANSBARI ARARIA,12
12303,"UTKRAMIT M S MADHUBANI KHERKHA FORBESGANJ, ARARIA",12
12304,"UTKRAMIT M S TERHI MUSAHARI FORBESGANJ, ARARIA",12
12305,"UTKRAMIT M S BHOONA JOKIHAT MAJAGAMA, ARARIA",12
12306,"UTKRAMIT M S RUPAIL MADHAL PALASI, ARARIA",12
12307,"UTKRAMIT M S RAHARIA MANULHA PATTI BHARGAMA, ARARIA",12
12308,"UTKRAMIT M S NONIYA TOLA CHAKALA NARPATGANJ, ARARIA",12
12309,"BALIKA UTKRAMIT M S GUNWANTI SHRANIGANJ, ARARIA",12
12310,"UTKRAMIT MADHYAMIK VIDYALAY, PARMANANDPUR RANIGANJ",12
12311,"UTKRAMIT M S KAPAR FORA KURSAKANTA, ARARIA",12
12312,"UTKRAMIT M S SOHAGMARO SIKATI, ARARIA",12
12313,"ADARSH UTKRAMIT M S MIRJAPUR FORBISGANJ, ARARIA",12
12314,"UTKRAMIT M S ACHRA NARPATGANJ, ARARIA",12
12315,UTKRAMIT M S ARARIA BASTI ARARIA,12
12316,"UTKRAMIT M S HINGNA AURAHI FORBISGANJ, ARARIA",12
12317,"UTKRAMIT M S JAHANPUR KESHRRA JOKIHAT, ARARIA",12
12318,"UTKRAMIT MS KHABDAH DUMRIYA REWAHI NARPATGANJ, ARARIA",12
12319,"UTKRAMIT M S KOSKAPUR KOSKAPUR NORTH RANIGANJ, ARARIA",12
12320,"UTKRAMIT M S MANGALWAR CHARIYA BHARGAMA, ARARIA",12
12321,"UPGRADE HIGH SCHOOL MALDWAR PURAB, ARARIA",12
12322,"UTKRAMIT M S BASMATIYA,, ARARIA",12
12323,"UTKRAMIT M S TAMGANJ,, ARARIA",12
12324,"UTKRAMIT M S KHAIRA,, ARARIA",12
12325,"UTKRAMIT M S MAHESHPATTI,, ARARIA",12
12326,"UTKRAMIT M S BARMASIYA,, ARARIA",12
12327,"A UTKRAMIT M S KALA BALUA,, ARARIA",12
12328,"UTKRAMIT M S SONAMANI GODAM,, ARARIA",12
12329,"UTKRAMIT M S SUBHANKARPUR,, ARARIA",12
12330,"UTKRAMIT M S GOKHALAPUR BMS, NARPATGANJ, ARARIA",12
12331,"UTKRAMIT M S BELA REFUJI, NARPATGANJ, ARARIA",12
12332,"UTKRAMIT MADHYAMIK SCHOOL CHANDA, NARPATGANJ, ARARIA",12
12333,"UTKRAMIT M S HARIDYEPUR, RANIGANJ, ARARIA",12
12334,"UTKRAMIT M S NARAYANPUR, RANIGANJ, ARARIA",12
12335,"UTKRAMIT M S DUMARIYA BALAK, RANIGANJ, ARARIA",12
12336,"UTKRAMIT M S AMAUNA, FARBESGANJ, ARARIA",12
12337,"UTKRAMIT M S PURNDAHA, FARBESGANJ, ARARIA",12
12338,"UTKRAMIT M S GORAGACCH, SIKATI, ARARIA",12
12339,"UTKRAMIT M S DIMIHIYA, SIKATI, ARARIA",12
12340,"UTKRAMIT M S PECHAULI, PALASI, ARARIA",12
12341,"UTKRAMIT MADHYAMIK SCHOOL BHAWANI NAGAR, RANIGANJ, ARARIA",12
12342,"UTKRAMIT MADHYAMIK SCHOOL BARA ISTAMBARAR, JOKIHAT, ARARIA",12
12343,"UTKRAMIT M S LALPUR MAHUA, RANIGANJ, ARARIA",12
12344,"UTKRAMIT M S BARHARA, RANIGANJ, ARARIA",12
12345,"GIRLS UTKRAMIT M S POTIHIA, RANIGANJ, ARARIA",12
12346,"UTKRAMIT M S PARWAHA HARIJAN, FARBESGANJ, ARARIA",12
12347,"UTKRAMIT M S SIRSIA KALA, BHARGAMA, ARARIA",12
12348,"UTKRAMIT M S MAUJAHA, RANIGANJ, ARARIA",12
12349,"UTKRAMIT M S BASGARA RAMPUR, FARBESGANJ, ARARIA",12
12350,"UTKRAMIT M S MADHULATA, RANIGANJ, ARARIA",12
12351,"UTKRAMIT M S BARA, FARBESGANJ, ARARIA",12
12352,"UTKRAMIT M S DARMGANJ, PALASI, ARARIA",12
12353,"UTKRAMIT M S BHAGPARWAHA, FARBESGANJ, ARARIA",12
12354,"UTKRAMIT M S BELWAAT, ARARIA",12
12355,"UTKRAMIT M S KUSHIAR GOAN, ARARIA",12
12356,"UTKRAMIT M S DENIA, SIKATI, ARARIA",12
12357,"UTKRAMIT M S SAHEBGANJ, NARPATGANJ, ARARIA",12
12358,"UTKRAMIT M S DUMARBANNA, NARPATGANJ, ARARIA",12
12359,"UTKRAMIT M S GARDHGAMA, NARPATGANJ, ARARIA",12
12360,"UTKRAMIT M S BHAWANIPUR, NARPATGANJ, ARARIA",12
12361,"UTKRAMIT M S SAMAUL, FARBESGANJ, ARARIA",12
12362,"UTKRAMIT M S TIRHUTBITTA, ARARIA",12
12363,"UTKRAMIT M S FULSARA, PALASI, ARARIA",12
12364,"UTKRAMIT M S DALA, PALASI, ARARIA",12
12365,"UTKRAMIT M S DOMOHANA-2, JOKIHAAT, ARARIA",12
12366,"UTKRAMIT M S CHIKANI, KURSAKANTA, ARARIA",12
12367,"UTKRAMIT M S BORIA, KURSAKANTA, ARARIA",12
12368,"UTKRAMIT MADHYAMIK SCHOOL, BAJIDPUR, JOKIHAT, ARARIA",12
12369,"UTKRAMIT MADHYAMIK SCHOOL, BHANSHIYA, JOKIHAT, ARARIA",12
12370,"UTKRAMIT MADHYAMIK SCHOOL, BAHARBARI, JOKIHAT, ARARIA",12
12371,"UTKRAMIT MADHYAMIK SCHOOL, BAGADAHRA, JOKIHAT, ARARIA",12
12372,"UTKRAMIT MADHYAMIK SCHOOL, AADI RAMPUR, BHARGAMA, ARARIA",12
12373,"UTKRAMIT MADHYAMIK SCHOOL, GAIYARI, ARARIA",12
12374,"UTKRAMIT MADHYAMIK SCHOOL, SHAURGAOWN, KURSHAKANTA, ARARIA",12
12377,"UTKRAMIT UCHCH MADYAMIK SCHOOL, KACHNA, SIKTI, ARARIA",12
12378,"UTKRAMIT MADHYAMIK SCHOOL, MALDWAR, PALASI, ARARIA",12
12379,"UTKRAMIT MADHYAMIK SCHOOL, CHANDIPUR, PALASI, ARARIA",12
12380,"UTKRAMIT MADHYAMIK SCHOOL, KAROR DIGHLI, PALASI, ARARIA",12
12382,"UTKRAMIT MADHYAMIK SCHOOL, CHAURA PARWAH, FORBISGANG, ARARIA",12
12383,"UTKRAMIT MADHYAMIK SCHOOL, PIPRA, FORBESGANJ, ARARIA",12
12384,"UTKRAMIT MADHYAMIK SCHOOL, RAGHUNATHPUR, BHARGAMA, ARARIA",12
12385,"UTKRAMIT MADHYAMIK SCHOOL, CHARAIYA, BHARGAMA, ARARIA",12
12386,"UTKRAMIT MADHYAMIK SCHOOL, BHATGAMA, BHARGAMA, ARARIA",12
12387,"UTKRAMIT MADHYAMIK SCHOOL, THEKPURA, RANIGANJ, ARARIA",12
12388,"UTKRAMIT MADHYAMIK SCHOOL, MAJHUA, RANIGANJ, ARARIA",12
12389,"UTKRAMIT MADHYAMIK SCHOOL, DABHRA SHARANPUR, ARARIA",12
12390,"UTKRAMIT MADHYAMIK SCHOOL, HALDHAR HAT, KURSAKANTA, ARARIA",12
12392,"UTKRAMIT UCHCH MADHYAMIK SCHOOL, JAYNAGAR, BHARGAMA, ARARIA",12
12393,"UTKRAMIT UCH MADHYAMIK SCHOOL, MIRDAUL, NARPATGANJ, ARARIA",12
12394,"UTKRAMIT MADHYAMIK SCHOOL, SONAPUR, NARPATGANJ, ARARIA",12
12395,"UTKRAMIT MADHYAMIK SCHOOL, FATEHPUR, NARPATGANJ, ARARIA",12
12396,"UTKRAMIT MADHYAMIK SCHOOL BARDHA NUNIYA TOLA, NARPATGANJ ARARIA",12
12397,"UTKRAMIT MADHYAMIK SCHOOL , MAHISHAKOL, ARARIA",12
12398,"UTKRAMIT MADHYAMIK SCHOOL, FARASUT, ARARIA",12
12399,"UTKRAMIT MADHYAMIK VIDYALYA THENGAPUR, SIKATI, ARARIA",12
12400,"UTKARMIT MADHYAMIC VIDYALAYA, GAIRAKI, ARARIA",12
12401,"U.M.S MAHALGAON, JOKIHAT, ARARIA",12
12402,"U.H.S.PATTI PRANPAT, BHARGAMA, ARARIA",12
12403,UCHCH NADHYAMIK VIDDYALAY BASANTPUR ARARIA,12
12404,UCHCHA MADYMIC VIDYALAY RAMPUR MOHANPUR PURWEE,12
12405,UCHCH MADHYAMIK VIDDYALAY RAMPUR MOHANPUR WEST,12
12406,UHS MADANPUR PASCHIM,12
12407,UTKRAMIT MADHYMIC VIDHYALAY BOCHI PURV,12
12408,UHS BATURBARI,12
12409,U H S JAMUA ARARIA,12
12410,UCHCH MADHYAMIK VIDDALAY CHIKNI GARIA ARARIA,12
12411,UHS RAMPUR KODARKATTI ARARIA,12
12412,UCHCH MADHYAMIK VIDHYALAYA KAMALDAHA ARARIAL,12
12413,UCHCH MADHYAMIK VIDYALAY BANGAMA,12
12414,UCHCH MADHYAMIK VIDYALAYA BELWA ARARIA,12
12415,UCCH MADHYAMIK VIDHAYALAY HADIYA ARARIYA,12
12416,UHS DIYARI,12
12417,UHS HAYATPUR,12
12418,UHS CHANDARDAI,12
12419,UCHCH MADHYEMIK VIDHYALAY GAIRA BLOCK-ARARIA,12
12420,UCHCH MADHYAMIK VIDYALAY SHANKARPUR,12
12421,"UTKRAMIT MADHYAMIK VIDYALAY, RAGHUNATHPUR UTTAR",12
12422,UCHCH MADHYAMIK VIDYALAYA PAIKPAR,12
12423,UCHCH MADHYAMIK VIDYALAYA KHAJURI,12
12424,UCHCH MADHYAMIK VIDYALAY NAYA BHARGAMA BHARGAMA ARARIA,12
12425,UHS BISHARIA BHARGAMA ARARIA,12
12426,U.M.V HARIPUR KALA BHARGAMA ARARIA,12
12427,"UMS ARARAHA, FARBISGANJ",12
12428,"UTKRAMIT MADHYAMIK VIDYALAY, JHIRUWA PURVARI",12
12429,"UCHCH MADHYAMIK VIDYALAY, POTHIYA",12
12430,UCHCH MADHYAMIK VIDYALAY KIRKICHIYA,12
12431,"UHS DHOLBAJA, FARBISGANJ",12
12432,UHS MATIYARI FORBESGANJ,12
12433,"UCCH MADHYAMIK VIDHAYALAY RAMPUR DAKSHIN FORBESGANJ, ARARIA",12
12434,UCCH MADHYAMIK VIDYALAY RAMPUR UTTAR,12
12435,"UMS BOKARA, FARBISGANJ",12
12436,U.M.S KHAWASPUR,12
12437,U H S AMHARA,12
12438,UCHCH MADHYAMIK VIDHALAY SAHBAZPUR FORBESGANJ,12
12439,UCCH MADHYAMIK VIDAYALAY KUSHMAHA,12
12440,U M SCHOOL BATHNAHA,12
12441,UCHCHA MADHYAMIK VIDYALAYA MAJHUA,12
12442,UHS CHAINPUR MASURIA,12
12443,UHS CHAUKTA,12
12444,"UCHCH MADHYAMIK VIDYALAY, KAKAN",12
12445,"UCHCHA MADHYAMIK VIDYALAYA KURSAIL JOKIHAT,  ARARIA",12
12446,UHS MATIYARI JOKIHAT,12
12447,"UTKRAMIT MADHYAMIK VIDYALAY, SIMARIYA",12
12448,"UCHCHA MADHYAMIK VIDYALAYA GIRDA JOKIHAT,  ARARIA",12
12449,UHS HARDAR,12
12450,UHS BHAGWANPUR,12
12451,UHS PATHRABARI,12
12452,UHS PACHHIYARI PIPRA,12
12453,UCHHA MADHIYAMIK VIDIYALAY DUBBA,12
12454,UCHCH MADHYAMIK SCHOOL CHAKAI JOKI HAT ARARIA,12
12455,U.H.S TARAN,12
12456,UCHCH MADHYAMIK VIDYALAY KAMALDAHA KURSAKANTA,12
12457,UCHCH MADHYAMIK VIDYALAYA LAILOKHAR,12
12458,UCHCH MADHYAMIK VIDYALAYA HARIA,12
12459,UCHCH MADHYAMIK VIDYALAYA DUMARIA,12
12460,UHS BHANGHI,12
12461,U.H.S. NATHPURNARPATRGANJ,12
12462,UCHCH MADHYAMIK VIDYALAYA MADHURA DAKSHIN NARPATGANJ,12
12463,UCHCH MADHYAMIK SCHOOL KHABDAH KANHAILI,12
