Class Name,Subject Name,Chapter,Language,Question,Option 1,Option 2,Option 3,Option 4,Correct Response,Image
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,bjhabcbjhc,cxca,asc,ascdc,sddfxf,Option 4,https://source.unsplash.com/assets/grid-erondu-1d1407af0d578ecaa04ef86a84f1906172c2140513fced96b99dfc2a169d0e89.png
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option 3,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option 1,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option 4,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option 2,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option 4,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option 1,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option 4,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option 3,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option 4,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option 1,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option 1,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option 3,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option 4,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option 1,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option 4,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option 3,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option 4,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option 2,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option 2,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option 4,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option  4,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option  3,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option  1,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option  1,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option  1,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option  3,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option  4,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option  2,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option  3,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option  2,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option  2,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option  1,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option  1,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,,,,,,Option  3,
