Class Name,Subject Name,Chapter,Language,Question,Option 1,Option 2,Option 3,Option 4,Correct Response,Image
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,^fuca/k* gS&,JefoHkktu vkSj tkfr izFkk,ukxjh fyfi,ijaijk dk ewY;kadu,mi;qZDr lHkh,Option 4,https://source.unsplash.com/assets/grid-erondu-1d1407af0d578ecaa04ef86a84f1906172c2140513fced96b99dfc2a169d0e89.png
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,"ckck lkgsc Hkhejko vacsMdj ds fo[;kr Hkk""k.k &&& dk la'ksf/kr :I gS& ^JefoHkktu vkSj tkfr izFkk*",^n dkLV bu bafM;k% ns;j eSdsfUte,"tsusfll ,.M MsoyiesaV",",uhfgys'ku vkWQ dkLV","cq) ,.M fgt /kEek",Option 3,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,"^,uhfgys'ku vkWQ dkLV* dk fganh :ikraj.k fd;k&",yybZ flag ;kno us ,jkefoykl 'kekZ us,^vKs;* us,^izsepUn* us,Option 1,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,ckck lkgsc vacsMdj dk tUe &&& bZ0 esa gqvk&,14 vizSy 1881,14 vizSy 1885,14 vizSy 1886,14 vizSy 1891,Option 4,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,ckck lkgsc vacsMdj dk tUe fdl jkT; esa gqvk \,fcgkj,e/; izns'k,"egkjk""Vª",mÙkj izns'k,Option 2,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,ckck lkgsc Hkhejkl vacsMdj ds izsjd Fks&,cq),dchj,T;ksfrck Qwys,mi;qZDr lHkh,Option 4,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,^ckck lkgsc Hkhejko vacsMdj* dk fu/ku gqvk&,fnlacj 1956 bZå esa,fnlacj 1957 bZå esa,fnlacj 1958 bZå esa,fnlacj 1959 bZå esa,Option 1,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,"^n jkgt ,.M QkWy vkWQ n fgUnw ohesu* ds ys[kd gSa&",jkefoykl 'kekZ,jke bdcky flag jkds'k,xq.kkdj eqys,ckck lkgsc Hkhejko vacsMdj,Option 4,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,^Je foHkktu vkSj tkfr izFkk* ikB ds dsUnz esa gS&,cky fookg,ngst izFkk,tkfr izFkk,fo/kok fookg,Option 3,
10 (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,"^^yksdra= ewyr% lkewfgd thou ppkZ dh ,d jhfr rFkk lekt ds lfEefyr vuqHkoksa ds vknku&iznku dk uke gSA** ;g iafDr &&ikB ls m)r gS&",f'k{kk vkSj laLd`fr,ijaijk dk ewY;kadu,ukxjh fyfi,Je foHkktu vkSj tkfr izFkk,Option 4,
